cgpa,attendance,backlogs,internships,projects,certifications,aptitude_score,coding_score,technical_skills_score,communication_score,branch,skills,placement
6.21,89.34,0,1,0,2,39.12,52.01,65.69,51.59,CSE,React:Beginner;HTML:Beginner,0
5.62,96.5,0,0,5,5,72.53,79.32,37.98,53.67,ECE,JavaScript:Intermediate;Java:Intermediate,1
8.16,69.27,3,3,0,3,98.03,63.35,68.15,69.45,ECE,JavaScript:Beginner;Java:Intermediate;Data Science:Intermediate;React:Advanced;Python:Intermediate,1
6.4,55.46,0,1,4,0,81.61,76.75,74.08,99.27,CSE,CSS:Intermediate;SQL:Intermediate;JavaScript:Intermediate,1
6.9,72.05,0,0,4,7,54.45,79.47,88.81,66.8,CIVIL,Python:Beginner;CSS:Intermediate;SQL:Advanced,1
9.12,77.71,0,1,2,3,61.93,47.59,68.5,80.29,MECH,Python:Intermediate;Machine Learning:Beginner;C++:Advanced,1
6.0,70.51,2,2,2,6,86.11,42.49,63.09,81.83,MECH,Python:Intermediate;JavaScript:Beginner;C++:Intermediate,1
7.7,94.02,0,2,6,2,48.62,41.15,36.09,92.05,EEE,React:Intermediate;C++:Intermediate;CSS:Intermediate;HTML:Intermediate;SQL:Intermediate,1
9.93,76.77,0,0,2,0,98.74,82.62,97.32,70.01,ECE,SQL:Advanced;C++:Intermediate;Java:Intermediate;Machine Learning:Advanced;JavaScript:Beginner,1
8.56,73.88,0,2,3,4,75.72,38.23,43.55,52.17,MECH,Python:Intermediate;CSS:Advanced;Machine Learning:Intermediate;HTML:Intermediate,1
7.86,55.23,0,0,5,8,89.89,46.37,54.45,80.02,CIVIL,HTML:Beginner;Machine Learning:Intermediate;JavaScript:Beginner,1
8.36,60.14,1,2,2,5,90.29,96.9,51.78,73.51,CIVIL,SQL:Intermediate;Machine Learning:Intermediate;C++:Intermediate;Data Science:Beginner,1
9.2,82.68,0,0,1,8,94.2,55.97,85.38,69.42,CIVIL,Machine Learning:Intermediate;C++:Beginner;Java:Beginner;HTML:Intermediate,1
9.19,77.49,0,1,1,0,73.93,51.62,99.37,47.41,CIVIL,JavaScript:Beginner;CSS:Advanced;React:Beginner;SQL:Intermediate;Data Science:Advanced,1
8.43,70.36,2,1,0,2,47.61,88.37,94.95,68.75,EEE,C++:Beginner;CSS:Intermediate,1
8.9,58.38,2,2,5,3,64.69,98.41,52.17,43.0,IT,React:Advanced;SQL:Intermediate,1
6.54,87.33,0,1,1,7,49.69,97.27,79.24,41.08,MECH,CSS:Advanced;Machine Learning:Advanced,1
9.16,76.06,1,0,5,6,88.43,85.6,38.79,77.02,MECH,Java:Beginner;React:Beginner,1
7.79,71.59,2,2,3,7,97.01,91.39,37.64,54.03,EEE,Java:Intermediate;Machine Learning:Beginner;HTML:Intermediate,1
6.49,60.64,0,1,6,8,47.02,86.9,36.28,73.36,MECH,Java:Advanced;Machine Learning:Advanced;Data Science:Beginner;HTML:Intermediate;CSS:Beginner,1
6.24,58.78,0,1,5,7,63.02,49.23,98.17,81.34,IT,Python:Beginner;Java:Advanced;SQL:Intermediate;C++:Advanced;Data Science:Intermediate,1
6.17,74.17,2,2,4,3,91.98,89.37,46.52,80.89,ECE,Python:Advanced;SQL:Beginner;JavaScript:Advanced;React:Intermediate;CSS:Intermediate,1
9.97,77.27,0,1,3,5,44.51,66.29,55.17,72.32,ECE,CSS:Beginner;C++:Advanced;React:Intermediate,1
5.21,68.13,0,1,3,7,51.25,80.08,91.25,48.24,IT,Java:Advanced;Data Science:Beginner;SQL:Intermediate;CSS:Intermediate,1
8.99,95.28,1,1,1,4,45.5,49.61,58.62,45.35,IT,React:Intermediate;CSS:Beginner;Data Science:Beginner;HTML:Intermediate;JavaScript:Beginner,1
9.03,96.1,3,2,0,2,87.4,37.49,39.84,62.4,IT,Java:Intermediate;Data Science:Intermediate;Python:Intermediate,1
5.09,59.52,0,1,3,2,40.04,83.45,79.03,49.21,ECE,JavaScript:Intermediate;Python:Beginner;Data Science:Intermediate,1
8.03,63.43,0,2,2,5,81.14,49.0,40.64,92.62,ECE,React:Intermediate;JavaScript:Beginner;Data Science:Beginner;Java:Beginner;Python:Intermediate,1
5.01,85.27,1,0,6,3,69.51,51.21,98.15,89.93,MECH,Machine Learning:Intermediate;HTML:Beginner,1
6.09,71.4,0,0,2,5,86.95,38.2,94.0,79.14,ECE,React:Beginner;Data Science:Beginner;C++:Intermediate,1
6.51,55.67,0,3,5,8,44.7,67.57,89.37,51.48,CSE,CSS:Beginner;JavaScript:Intermediate;Data Science:Beginner,1
5.6,89.67,2,2,0,6,38.52,66.71,55.76,73.89,ECE,C++:Advanced;Python:Advanced;HTML:Intermediate,0
7.69,85.0,0,1,1,7,61.73,83.33,42.88,62.12,CSE,HTML:Beginner;CSS:Beginner;C++:Beginner;Machine Learning:Intermediate,1
7.67,94.4,0,0,5,5,44.86,90.25,69.87,98.0,ECE,Data Science:Intermediate;SQL:Intermediate,1
5.8,55.13,0,1,1,5,86.75,42.17,85.11,84.41,CIVIL,HTML:Beginner;Machine Learning:Advanced,1
7.01,96.37,3,2,0,0,45.53,69.93,78.2,66.77,MECH,Machine Learning:Advanced;React:Intermediate;CSS:Intermediate;Python:Beginner,0
8.49,82.56,1,0,5,1,75.33,53.5,95.6,70.88,CIVIL,Python:Intermediate;Java:Beginner;HTML:Intermediate;C++:Intermediate,1
6.07,68.25,0,3,1,2,78.06,40.88,51.38,56.65,EEE,JavaScript:Intermediate;C++:Advanced;Java:Intermediate;Python:Intermediate,1
8.35,74.94,0,0,1,0,72.18,85.73,80.98,73.66,CSE,JavaScript:Intermediate;Machine Learning:Beginner,1
9.9,61.85,2,3,4,6,86.99,63.01,52.36,47.54,CSE,JavaScript:Intermediate;HTML:Advanced;Data Science:Advanced;React:Intermediate;C++:Intermediate,1
7.4,70.0,1,0,1,0,35.83,65.05,82.15,69.49,EEE,SQL:Advanced;HTML:Beginner;CSS:Advanced;C++:Advanced;Data Science:Beginner,0
6.19,79.4,2,0,2,0,85.5,96.96,94.52,82.42,MECH,SQL:Intermediate;Data Science:Intermediate,0
6.74,82.79,0,0,6,2,50.06,76.57,67.46,80.76,ECE,JavaScript:Intermediate;Java:Intermediate;C++:Advanced,1
6.42,55.81,1,3,0,7,88.92,59.21,65.13,93.06,MECH,SQL:Beginner;JavaScript:Advanced;CSS:Advanced,1
9.06,76.16,2,0,5,8,50.51,58.55,79.29,92.5,MECH,CSS:Beginner;Machine Learning:Beginner;JavaScript:Intermediate,1
7.74,87.24,0,0,1,8,39.23,48.07,60.04,55.55,CIVIL,React:Intermediate;C++:Advanced;Java:Intermediate,1
5.69,94.32,0,1,3,5,57.09,59.34,79.57,64.2,CIVIL,SQL:Beginner;Python:Advanced;Machine Learning:Intermediate;Java:Intermediate,1
5.69,87.36,0,0,1,4,73.79,38.92,87.51,64.0,MECH,CSS:Intermediate;Python:Advanced;Java:Intermediate;JavaScript:Advanced;C++:Beginner,0
7.75,83.3,1,1,2,0,76.84,52.68,84.17,42.36,MECH,C++:Beginner;CSS:Beginner,1
5.11,89.02,0,2,0,1,85.85,50.65,41.87,66.62,CIVIL,Machine Learning:Advanced;Python:Advanced;React:Intermediate;Data Science:Intermediate;HTML:Beginner,0
8.59,57.74,1,0,2,0,79.1,90.02,57.97,83.1,MECH,SQL:Intermediate;Java:Beginner;Machine Learning:Beginner,1
7.01,87.04,2,4,5,5,96.55,55.23,50.6,62.24,EEE,HTML:Beginner;Data Science:Beginner;Machine Learning:Beginner;CSS:Beginner,1
7.86,84.08,1,1,3,2,96.37,51.88,79.19,63.87,CIVIL,Java:Intermediate;SQL:Advanced;JavaScript:Advanced,1
5.55,79.95,0,1,4,1,93.45,76.71,43.56,80.09,CIVIL,Data Science:Beginner;JavaScript:Intermediate;Machine Learning:Intermediate,1
6.65,84.45,5,0,0,4,36.05,45.16,81.31,41.51,CSE,Python:Intermediate;SQL:Advanced,0
6.03,56.38,0,0,3,3,37.08,96.34,80.46,74.68,IT,Machine Learning:Advanced;C++:Advanced;CSS:Beginner;Java:Beginner,1
5.62,66.37,1,0,5,0,54.57,76.32,78.06,56.2,MECH,HTML:Beginner;Java:Advanced;Machine Learning:Intermediate,0
9.79,78.32,2,1,6,0,76.26,97.3,85.56,99.98,CSE,HTML:Advanced;React:Beginner;Data Science:Advanced;Python:Advanced;Java:Advanced,1
9.21,66.03,0,2,5,5,76.23,85.57,96.35,92.98,ECE,Java:Intermediate;React:Intermediate;CSS:Beginner;C++:Intermediate;HTML:Beginner,1
6.06,92.08,2,2,6,5,88.37,66.07,45.33,58.67,MECH,C++:Advanced;Machine Learning:Beginner;Python:Beginner;Java:Beginner;HTML:Beginner,1
5.04,58.06,0,1,5,7,57.85,80.77,51.37,42.04,MECH,Python:Advanced;JavaScript:Intermediate,1
8.37,66.94,0,2,5,7,53.37,43.9,91.93,97.05,CIVIL,Python:Intermediate;HTML:Intermediate;Java:Intermediate,1
5.46,77.56,2,0,0,2,82.69,89.29,59.59,79.47,MECH,React:Intermediate;CSS:Intermediate;HTML:Beginner,0
6.91,80.29,0,0,0,8,67.03,32.91,95.84,48.15,CIVIL,Python:Intermediate;JavaScript:Intermediate;Machine Learning:Advanced,0
6.76,64.59,3,0,2,0,91.42,91.43,75.31,68.75,MECH,Data Science:Beginner;Python:Advanced,0
9.12,63.71,2,4,2,6,89.58,34.62,83.24,79.31,IT,C++:Beginner;CSS:Advanced;Python:Beginner;HTML:Beginner,1
9.48,75.81,2,3,0,8,54.46,80.75,55.51,72.15,IT,SQL:Advanced;Java:Intermediate;C++:Intermediate;CSS:Intermediate,1
8.3,70.91,1,1,0,0,53.35,87.21,74.51,55.17,IT,C++:Intermediate;SQL:Beginner;React:Advanced,1
7.48,63.35,0,2,2,4,83.33,85.46,99.92,46.66,IT,CSS:Intermediate;Python:Intermediate,1
7.3,63.9,2,0,3,7,54.24,98.08,86.61,86.92,ECE,HTML:Beginner;C++:Intermediate;SQL:Beginner,1
5.69,93.19,0,1,6,0,50.95,86.64,57.19,70.3,CSE,SQL:Intermediate;HTML:Beginner;Data Science:Advanced;CSS:Intermediate,1
7.66,64.51,0,3,3,8,41.46,82.91,85.24,65.94,IT,C++:Intermediate;Python:Beginner;JavaScript:Beginner;Data Science:Intermediate,1
6.34,67.21,0,1,2,5,93.97,69.62,57.65,58.38,ECE,React:Beginner;Data Science:Intermediate;HTML:Advanced;SQL:Advanced;CSS:Intermediate,1
7.5,95.27,0,0,3,2,90.02,46.93,74.58,62.03,ECE,JavaScript:Intermediate;CSS:Beginner;C++:Intermediate;SQL:Beginner;Python:Advanced,1
9.11,65.54,0,0,6,3,47.85,50.65,38.98,66.97,MECH,Python:Intermediate;Java:Advanced;JavaScript:Advanced,1
8.4,68.08,0,1,6,2,85.39,37.0,87.25,60.14,EEE,Machine Learning:Intermediate;React:Beginner;CSS:Intermediate;C++:Intermediate,1
5.16,74.37,3,1,2,6,63.77,32.52,46.5,79.56,ECE,CSS:Intermediate;HTML:Intermediate;C++:Advanced,0
9.71,88.72,1,0,1,7,53.02,90.75,68.24,43.4,IT,Data Science:Advanced;HTML:Beginner,1
7.24,73.81,1,1,1,5,80.64,72.97,72.98,52.93,CIVIL,C++:Beginner;Java:Intermediate;Data Science:Advanced;React:Intermediate,1
6.5,92.13,0,1,2,3,35.44,64.95,83.33,77.56,IT,CSS:Intermediate;C++:Advanced;React:Beginner;Java:Advanced,1
5.18,75.01,0,0,6,1,38.31,59.6,97.98,42.42,MECH,C++:Intermediate;HTML:Intermediate;Data Science:Intermediate;Java:Advanced;SQL:Beginner,1
6.32,95.04,2,0,2,3,81.64,44.25,76.23,55.84,EEE,Python:Beginner;Java:Beginner;HTML:Advanced;CSS:Intermediate,0
7.6,80.9,0,1,1,3,79.46,85.14,66.8,59.53,ECE,Machine Learning:Intermediate;HTML:Intermediate;JavaScript:Advanced;React:Beginner;C++:Intermediate,1
6.81,77.97,4,0,3,7,53.9,36.31,83.62,69.3,EEE,Java:Beginner;Data Science:Intermediate;C++:Intermediate,0
5.58,60.1,1,1,2,4,97.28,80.59,95.63,43.87,EEE,Data Science:Intermediate;SQL:Beginner;C++:Intermediate,1
7.03,77.14,5,0,1,0,94.69,59.02,56.17,56.44,EEE,Java:Beginner;Data Science:Intermediate;SQL:Advanced;React:Advanced;HTML:Advanced,0
9.75,75.67,0,0,6,7,99.47,65.22,94.77,76.66,CIVIL,Python:Intermediate;Data Science:Advanced;Java:Advanced;JavaScript:Beginner,1
8.8,93.07,1,0,2,7,75.94,38.22,63.35,68.97,MECH,C++:Intermediate;React:Beginner,1
9.32,83.87,0,1,2,5,96.72,64.08,50.36,98.21,EEE,Data Science:Advanced;Machine Learning:Advanced,1
6.75,94.75,1,0,2,3,96.77,73.28,65.87,73.68,CIVIL,Java:Intermediate;SQL:Advanced,1
9.17,59.15,1,4,3,5,87.91,69.39,39.31,69.28,EEE,SQL:Intermediate;JavaScript:Intermediate;Python:Intermediate,1
5.63,69.09,0,0,0,4,82.19,91.51,84.0,72.86,CSE,Java:Advanced;SQL:Intermediate;HTML:Advanced,0
8.29,66.07,3,1,3,6,41.53,66.83,72.17,98.69,IT,Python:Advanced;React:Intermediate;JavaScript:Beginner;HTML:Beginner,0
8.92,92.73,0,0,0,7,64.51,91.23,70.69,45.36,IT,C++:Intermediate;HTML:Intermediate;React:Intermediate;Java:Beginner;CSS:Intermediate,1
7.72,67.18,2,0,0,3,35.04,91.41,72.25,51.4,CIVIL,SQL:Intermediate;CSS:Advanced,0
6.07,59.52,0,1,3,2,83.05,56.91,74.98,62.81,MECH,JavaScript:Advanced;CSS:Intermediate;HTML:Beginner;Machine Learning:Intermediate,1
7.9,90.3,2,2,2,7,87.73,44.9,77.47,42.77,IT,JavaScript:Beginner;React:Advanced,1
9.21,80.3,0,1,1,3,99.05,66.59,76.64,89.27,ECE,JavaScript:Advanced;C++:Intermediate;Python:Beginner;React:Advanced;Machine Learning:Advanced,1
5.33,76.11,1,0,3,1,81.74,62.26,78.44,56.29,ECE,Data Science:Intermediate;HTML:Beginner;Machine Learning:Advanced;Java:Advanced;SQL:Advanced,0
5.42,58.33,2,2,3,0,35.96,88.12,74.32,49.11,CIVIL,JavaScript:Intermediate;React:Intermediate;SQL:Intermediate;Data Science:Beginner;Machine Learning:Advanced,0
6.46,86.74,0,1,3,3,64.69,40.12,47.39,75.96,CIVIL,Java:Intermediate;React:Advanced;HTML:Beginner,0
9.52,61.93,0,1,6,8,55.17,52.91,85.02,45.9,MECH,JavaScript:Intermediate;Python:Advanced;CSS:Beginner,1
9.67,73.26,2,4,3,2,70.91,43.21,84.43,92.85,CIVIL,Java:Advanced;C++:Beginner,1
8.46,57.8,0,0,3,8,95.0,92.15,85.04,81.42,CIVIL,SQL:Intermediate;JavaScript:Intermediate;Machine Learning:Advanced;Java:Intermediate,1
5.48,84.51,0,1,6,7,53.71,91.87,43.38,42.18,CSE,Python:Advanced;HTML:Intermediate;JavaScript:Advanced,1
7.89,63.42,0,0,1,4,80.96,80.39,57.5,88.91,CIVIL,CSS:Intermediate;Data Science:Intermediate,1
7.65,93.55,1,1,5,3,38.17,97.05,87.83,73.46,ECE,JavaScript:Intermediate;Java:Beginner;Python:Intermediate;SQL:Beginner,1
7.23,85.24,3,0,0,6,63.53,67.78,84.04,86.56,IT,JavaScript:Intermediate;SQL:Beginner;Machine Learning:Intermediate;Java:Beginner,0
8.63,87.0,0,0,1,4,94.57,92.24,49.7,46.54,ECE,React:Advanced;Python:Intermediate,1
6.21,95.51,0,0,1,5,89.65,66.33,83.18,59.05,IT,JavaScript:Intermediate;Machine Learning:Advanced;HTML:Advanced;Java:Intermediate;React:Beginner,1
7.19,62.1,0,1,4,7,63.88,56.84,87.96,87.13,MECH,Machine Learning:Intermediate;Data Science:Intermediate,1
9.55,93.33,2,0,6,8,76.56,99.54,35.4,94.27,MECH,Java:Intermediate;CSS:Advanced,1
8.2,58.43,0,0,0,3,39.29,83.92,84.3,56.2,IT,CSS:Beginner;SQL:Advanced,1
6.63,80.2,0,0,4,7,90.67,37.48,50.8,59.53,EEE,Python:Advanced;HTML:Intermediate;CSS:Beginner;Java:Beginner;C++:Intermediate,1
9.18,56.46,2,1,0,4,78.68,33.49,66.77,78.85,EEE,React:Intermediate;JavaScript:Advanced,1
7.41,89.26,1,2,5,5,39.91,70.95,65.85,71.26,MECH,JavaScript:Advanced;Java:Beginner;C++:Advanced;Data Science:Advanced,1
8.82,77.68,0,1,6,5,88.53,87.63,36.66,96.72,EEE,Data Science:Beginner;React:Intermediate,1
5.12,98.68,0,3,6,5,72.98,54.55,59.85,47.88,CSE,SQL:Intermediate;Machine Learning:Advanced,1
8.94,77.85,1,1,4,0,78.03,91.35,75.17,75.83,IT,C++:Beginner;Data Science:Intermediate;CSS:Intermediate,1
5.2,94.29,0,0,5,2,52.02,71.61,76.51,71.37,EEE,SQL:Intermediate;CSS:Advanced;Python:Intermediate;Data Science:Beginner;Java:Beginner,1
6.59,77.84,1,0,0,2,42.01,69.93,65.68,45.48,ECE,JavaScript:Advanced;Machine Learning:Intermediate;HTML:Beginner;SQL:Beginner;Data Science:Advanced,0
9.72,97.51,1,0,3,4,48.27,87.48,36.41,91.72,IT,Data Science:Intermediate;React:Beginner;CSS:Intermediate;HTML:Advanced,1
5.01,69.03,0,0,0,4,86.51,86.47,93.68,67.19,ECE,Machine Learning:Beginner;JavaScript:Advanced;Java:Intermediate;Python:Advanced;CSS:Beginner,0
8.1,64.85,0,2,4,1,88.08,62.79,55.36,78.51,EEE,Python:Beginner;SQL:Beginner;HTML:Beginner,1
5.09,60.33,2,2,3,4,84.97,40.88,67.86,88.5,EEE,SQL:Beginner;CSS:Intermediate,0
8.58,64.62,1,0,1,8,39.31,49.85,48.79,53.05,MECH,Data Science:Advanced;Java:Intermediate;HTML:Intermediate;SQL:Beginner,1
7.67,69.19,0,3,0,6,46.32,64.93,87.58,40.9,ECE,SQL:Beginner;CSS:Advanced;Python:Beginner,1
6.1,81.42,0,0,1,4,93.91,95.18,68.2,62.39,MECH,Java:Intermediate;C++:Advanced;Data Science:Intermediate;CSS:Intermediate;SQL:Intermediate,1
5.56,99.03,2,0,0,3,65.75,63.56,35.16,93.18,CIVIL,Data Science:Intermediate;Python:Beginner;SQL:Intermediate,0
8.8,66.17,3,1,6,8,63.28,37.91,98.18,46.97,ECE,JavaScript:Beginner;Python:Intermediate;HTML:Intermediate,1
6.54,78.57,1,0,5,6,48.46,85.57,43.28,83.48,ECE,Java:Advanced;Data Science:Intermediate;C++:Intermediate;Python:Intermediate;Machine Learning:Advanced,1
9.18,59.94,1,1,3,6,76.03,86.85,94.81,87.28,MECH,Data Science:Intermediate;HTML:Beginner;Python:Intermediate,1
7.8,89.81,0,0,4,1,77.19,81.62,83.9,92.27,CIVIL,JavaScript:Advanced;SQL:Intermediate;Machine Learning:Intermediate,1
8.62,64.83,1,2,5,8,72.87,95.36,41.48,49.46,CSE,C++:Advanced;Python:Intermediate;Data Science:Intermediate;Machine Learning:Advanced;JavaScript:Intermediate,1
6.59,72.21,0,0,5,1,58.34,35.77,89.77,70.77,CIVIL,React:Beginner;JavaScript:Beginner,0
6.5,69.62,0,1,0,8,94.1,42.54,90.91,80.04,CSE,JavaScript:Intermediate;SQL:Intermediate,1
5.55,63.44,0,0,5,8,97.75,97.2,41.66,84.19,IT,CSS:Beginner;HTML:Advanced;Data Science:Intermediate,1
8.74,56.1,0,2,6,6,47.02,91.01,75.74,82.23,CSE,HTML:Intermediate;SQL:Beginner,1
6.9,59.53,0,2,1,8,52.09,48.86,97.3,60.59,IT,HTML:Intermediate;JavaScript:Intermediate;Data Science:Intermediate;SQL:Intermediate;C++:Advanced,1
8.4,65.28,1,2,2,0,83.29,93.53,80.35,43.44,CIVIL,Java:Beginner;CSS:Intermediate;Machine Learning:Beginner;SQL:Intermediate,1
8.76,89.64,0,1,2,7,99.65,56.6,97.58,85.54,CSE,React:Intermediate;Machine Learning:Intermediate;Java:Advanced;Python:Intermediate;CSS:Intermediate,1
8.16,64.5,0,1,2,0,54.71,94.9,72.04,85.23,ECE,HTML:Intermediate;React:Intermediate,1
7.02,97.73,0,2,2,3,58.4,62.47,43.12,43.06,CSE,Java:Intermediate;SQL:Intermediate,1
7.95,63.61,1,1,4,0,40.88,91.44,43.52,99.28,EEE,Data Science:Intermediate;Python:Advanced,1
6.54,64.23,5,1,0,2,81.26,36.51,94.88,93.84,MECH,SQL:Intermediate;CSS:Intermediate;Java:Intermediate;React:Intermediate;Python:Beginner,0
9.51,59.15,0,1,6,7,53.89,52.47,91.34,46.72,CIVIL,C++:Beginner;Python:Advanced;JavaScript:Intermediate,1
7.19,65.33,1,3,0,1,75.22,62.24,67.13,74.26,IT,JavaScript:Beginner;Machine Learning:Advanced;HTML:Advanced;CSS:Advanced;C++:Intermediate,1
8.83,86.47,2,0,3,2,68.05,70.73,93.45,88.22,ECE,React:Beginner;Python:Intermediate;Java:Intermediate;Data Science:Beginner,1
5.97,55.15,0,0,6,0,95.13,74.05,58.21,49.15,EEE,Python:Intermediate;SQL:Intermediate,1
9.39,84.03,1,1,0,6,82.99,91.98,68.77,64.92,EEE,JavaScript:Intermediate;Machine Learning:Intermediate;CSS:Advanced,1
8.98,81.43,2,0,6,4,97.83,81.61,75.03,94.55,IT,Python:Beginner;JavaScript:Advanced;Machine Learning:Beginner,1
6.39,94.58,0,0,1,1,53.71,64.06,49.54,50.16,ECE,JavaScript:Beginner;React:Beginner,0
7.09,80.21,0,2,0,2,58.25,74.45,68.28,51.67,CIVIL,Data Science:Intermediate;C++:Advanced;HTML:Intermediate;Machine Learning:Advanced;CSS:Intermediate,1
5.76,73.76,1,3,5,1,36.49,98.02,94.65,84.89,CIVIL,Data Science:Intermediate;Java:Intermediate;Python:Beginner;CSS:Beginner;SQL:Advanced,1
6.79,77.78,0,0,2,5,50.87,98.82,87.03,79.28,EEE,JavaScript:Advanced;SQL:Beginner;C++:Intermediate;Java:Advanced,1
8.85,85.57,2,2,5,4,89.74,71.87,40.03,75.92,CIVIL,Python:Intermediate;SQL:Advanced;Machine Learning:Beginner;Data Science:Advanced;C++:Advanced,1
9.0,95.31,1,1,1,8,69.0,58.53,68.04,82.46,CIVIL,Java:Advanced;Machine Learning:Beginner;SQL:Intermediate;JavaScript:Beginner,1
8.45,61.39,2,4,6,4,65.22,35.48,92.84,45.31,EEE,Machine Learning:Intermediate;React:Advanced,1
5.41,74.49,1,0,0,8,35.75,51.78,96.61,75.85,IT,Machine Learning:Intermediate;SQL:Advanced;Python:Beginner,0
8.94,77.52,3,2,5,1,69.34,49.41,87.09,72.21,EEE,React:Advanced;Python:Advanced;SQL:Beginner;HTML:Beginner;Machine Learning:Advanced,1
8.97,86.24,0,1,1,6,52.86,78.22,47.07,70.09,CSE,C++:Beginner;React:Advanced;Machine Learning:Intermediate;Python:Beginner;JavaScript:Intermediate,1
8.92,68.52,0,3,3,3,79.52,72.33,47.26,53.48,EEE,Python:Intermediate;React:Beginner;HTML:Beginner;Java:Beginner,1
5.13,79.02,0,0,3,1,45.77,45.81,37.43,95.86,CSE,React:Beginner;CSS:Intermediate,0
7.27,97.24,0,1,3,7,46.8,32.56,78.91,47.09,IT,CSS:Intermediate;C++:Intermediate;HTML:Beginner,1
6.1,75.56,3,1,5,8,91.06,77.44,40.22,62.34,IT,Java:Advanced;Machine Learning:Advanced;SQL:Intermediate,0
9.12,95.22,4,1,5,2,89.18,84.98,98.68,56.72,ECE,React:Beginner;CSS:Intermediate;Python:Intermediate;Data Science:Intermediate;Java:Intermediate,1
7.62,56.31,3,0,0,0,93.17,37.16,53.7,92.0,ECE,React:Advanced;Java:Beginner;SQL:Advanced,0
5.09,91.84,0,0,2,6,92.67,38.25,44.26,81.71,MECH,SQL:Advanced;Python:Intermediate;C++:Beginner;JavaScript:Intermediate;React:Beginner,0
8.59,65.82,0,1,3,8,95.07,85.64,59.25,68.89,CSE,Machine Learning:Intermediate;Python:Advanced;Java:Intermediate;Data Science:Advanced,1
9.17,68.3,2,1,4,0,56.69,39.29,36.23,50.81,MECH,Java:Advanced;Data Science:Intermediate;React:Beginner;Machine Learning:Intermediate;C++:Advanced,1
5.96,83.88,0,1,0,3,45.29,81.31,51.52,89.94,EEE,SQL:Beginner;C++:Intermediate;JavaScript:Advanced;Machine Learning:Beginner,1
6.24,87.0,0,0,0,1,79.46,39.31,49.18,97.56,MECH,JavaScript:Advanced;Java:Beginner,0
8.48,61.59,0,1,5,3,36.82,44.82,54.69,75.05,ECE,Machine Learning:Intermediate;Data Science:Beginner;HTML:Intermediate;JavaScript:Beginner,1
7.24,64.51,1,0,2,7,75.9,33.25,36.38,57.29,CSE,React:Intermediate;Java:Advanced,0
6.16,75.34,5,2,1,4,92.02,77.37,76.07,58.89,ECE,HTML:Beginner;Data Science:Beginner;Python:Beginner;CSS:Intermediate,0
9.89,61.91,0,1,2,8,57.25,79.26,75.36,67.62,CSE,Python:Intermediate;Java:Advanced;HTML:Intermediate;JavaScript:Beginner,1
6.63,84.74,3,1,3,8,38.25,65.83,91.13,61.37,CIVIL,JavaScript:Intermediate;React:Intermediate;Machine Learning:Intermediate;HTML:Intermediate;Data Science:Beginner,1
9.16,60.66,0,3,0,0,49.21,98.53,62.31,72.77,IT,JavaScript:Intermediate;SQL:Beginner;Data Science:Advanced;Java:Beginner;Machine Learning:Advanced,1
7.9,81.34,0,3,1,0,42.4,44.5,88.51,69.98,EEE,SQL:Beginner;JavaScript:Advanced;C++:Beginner;Python:Advanced;Machine Learning:Advanced,1
9.52,57.27,0,0,3,2,80.8,92.39,75.92,81.41,EEE,React:Advanced;SQL:Advanced;JavaScript:Beginner;Machine Learning:Advanced,1
6.56,87.54,2,0,0,8,58.02,31.57,86.39,52.27,EEE,Java:Intermediate;Machine Learning:Intermediate,0
8.66,88.04,4,1,1,0,87.1,49.81,86.88,84.63,MECH,Java:Advanced;HTML:Advanced;React:Beginner;Data Science:Advanced;Machine Learning:Beginner,0
7.1,94.95,0,1,2,1,74.93,83.98,64.39,78.82,EEE,JavaScript:Intermediate;Machine Learning:Advanced;SQL:Intermediate;CSS:Advanced,1
5.94,55.87,0,1,1,1,53.34,38.75,63.5,40.49,CSE,Python:Intermediate;CSS:Intermediate;JavaScript:Advanced,0
8.99,82.32,1,1,2,4,47.68,70.27,94.22,59.72,ECE,CSS:Intermediate;SQL:Intermediate;Java:Advanced,1
7.91,77.75,5,3,5,1,71.54,43.99,77.21,79.88,CSE,Java:Intermediate;C++:Beginner,0
8.76,58.56,0,2,6,3,88.35,42.19,54.11,58.53,IT,JavaScript:Intermediate;Machine Learning:Beginner;CSS:Beginner;Python:Intermediate,1
8.16,91.57,1,2,1,0,70.85,68.04,99.92,68.33,IT,HTML:Intermediate;JavaScript:Intermediate;React:Intermediate;Java:Intermediate,1
6.81,77.57,1,1,1,8,85.27,48.37,76.62,86.6,EEE,JavaScript:Intermediate;Data Science:Intermediate;React:Intermediate,1
9.77,90.18,4,2,4,2,85.59,46.46,67.21,73.65,IT,JavaScript:Intermediate;HTML:Beginner;Data Science:Intermediate;Java:Intermediate;Machine Learning:Intermediate,1
8.56,74.96,3,0,1,1,43.2,73.7,73.05,82.73,EEE,CSS:Advanced;Machine Learning:Beginner;HTML:Intermediate;Python:Advanced,0
6.61,90.25,0,2,0,2,94.38,33.25,59.51,75.91,MECH,C++:Intermediate;Java:Beginner;Python:Intermediate,1
8.85,78.94,1,0,5,1,35.59,79.62,73.37,75.96,ECE,CSS:Beginner;Data Science:Advanced,1
6.01,60.65,1,1,5,8,57.0,36.32,58.08,43.13,EEE,SQL:Intermediate;Data Science:Beginner,0
